name,Headquarters,Employees,Industry,Founded At,Status,Total Funding,Funding Rounds,Number of Acquisitions,FY 2022-23 Revenue,Profit_Loss,Latest Funding Round,FY 2022-23 Expenses,Net Cash Flow From Operations
1Bridge,Bengaluru,43,Consumer Tech,2016,1,24.42,4,1,72.39,-6.59,Seed,78.98,-4.64
1K Kirana Bazaar,Gurugram,985,E-commerce,2018,1,300.62,4,0,224.08,-182.53,Series B,407.7,-187.5
21K School,Bengaluru,1027,EdTech,2020,1,38.04,2,0,33.28,-25.99,Seed,59.28,-22.89
5C Network,Bengaluru,125,Healthcare,2016,1,83.59,7,1,18.75,-19.47,Series B,38.19,-16.82
5ire,Noida,129,"Blockchain,",2021,1,954.96,2,0,0.00019,-7.80E-05,Series A,0.000268,-62.07680742
60Plus India,Chennai,9,Healthcare,2021,1,0.7695000000000001,1,0,0.574,-0.1273,Seed,0.7012999999999999,-7.033972414
6Degree,Mumbai,79,E-commerce,2015,1,23.4,10,0,12.54,-3.72,Seed,,-154.0354023
91Squarefeet,Gurugram,159,"Enterprise Tech,",2019,1,87.7,3,0,67.9,-17.52,Series A,80.92,-16.595
A23,Delhi,40,Gaming,2005,1,7.86,3,0,1072.18,58.02,Seed,975.88,129.92
Aadyah Aerospace,Bengaluru,88,Space Tech,2016,1,19.5,1,0,14.8,3.42,Series A,11.23,-0.9956
Aakash,Delhi,11626,EdTech,1998,0,1350,1,0,1464.32,79.53,Private Equity,,145.18
AarogyaAI,Delhi,11,"SaaS,",2019,1,5.58,2,0,0.1841,-1.45,Seed,1.64,3.32288
ABL Workspace,Delhi,38,Co-Working,2017,1,30.4,6,0,6.44,-3.65,Series A,,-62.07680742
Absolute,Delhi,324,Biotech,2015,1,884.58,4,0,361.51,-37.38,Series B,,-123.71
Accacia,Gurugram,31,Artificial Intelligence/Machine Learning,2022,1,74.77,2,0,0.2644,-3.66,pre-Series A,3.93,-26.2587125
Acko,Bengaluru,1260,Insurance,2016,1,3336.41,6,3,1796.81,-738.55,Series E,2535.36,-184.89
Actlogica,Hyderabad,18,"Fintech,",2019,1,5.1,4,0,0.6071,-1.85,Seed,2.4,-1.59
Adda247,Gurugram,701,EdTech,2016,1,498.96,6,4,129.65,-296.09,Series B,425.17,-33.15
Addverb,Noida,727,Robotics,2016,0,1458.65,6,0,450.78,-58.17,Series B,516.44,-133.09
AdmitKard,Noida,270,EdTech,2015,1,95.21,6,0,8.69,-12.37,Series A,21.07,-44.05101
Adonmo,Hyderabad,315,Adtech,2017,1,406.77,8,0,77.13,-37.74,Series B,115.33,-0.35
Advantage Club,Gurugram,248,HR Tech,2014,1,54.73,6,0,322.98,-1.15,pre-Series A,324.48,1.52
Aeidth Technologies,Noida,6,Automotive Tech,2019,1,1.47,1,0,0.1959,-0.3633,Seed,0.5593,-75.86182381
Aequs,Others,1533,"Space Tech,",2006,1,762.64,4,0,840.5,-109.5,Series B,941.6,9.8
Aerem,Mumbai,34,Fintech,2020,1,66.47,6,0,2.14,-2.83,pre-Series A,4.97,-12.46
Aereo,Bengaluru,321,Drone,2013,1,174.44,4,0,52.55,2.06,Series B,49.65,-13.49
Aero360,Chennai,33,Drone,2017,1,7.2,1,0,3.59,0.3235,Seed,3.27,0.4584
Aerostrovilos Energy,Chennai,19,Renewable Energy,2017,1,3.89,2,0,0.2118,-0.4861,Seed,0.7019,-3.56
Aether,Surat,250,Manufacturing,2013,1,983.17,3,0,637.38,82.49,Post-IPO,,-16.45
AgNext,Chandigarh,212,Agritech,2016,1,185.57,4,0,387.71,-24.31,Series A,411.68,-24.31
Agnikul,Chennai,189,Space Tech,2017,1,307.47,4,0,2.86,-20.23,Series B,23.09,-26.05
AGRIM,Gurugram,254,"Agritech,",2020,1,239.29,4,0,159.04,-28.32,Series B,187.36,-29.23
Agrix,Delhi,16,Agritech,2020,1,2.44,3,0,4.18,-0.7971,Seed,5.02,-65.73210526
Agrizy,Bengaluru,27,Agritech,2021,1,153.28,3,0,180.25,-4.47,Series A,184.72,-14.09
Agrograde,Pune,11,Agritech,2017,1,1.5,3,0,0.2859,-0.7178,Seed,,-65.73210526
Agrostar,Pune,1639,Agritech,2008,1,903.64,7,1,263.36,-141.75,Series E,,-138.63
AirAttix,Pune,7,"SaaS,",2020,1,3.51,2,0,0.7168000000000001,-0.5132,pre-Series A,1.23,-0.4056
Airblack,Gurugram,160,"Beauty & Wellness,",2019,1,80.02,3,0,9.34,-20.14,Series B,29.48,-14.89
Akshayakalpa Organic,Bengaluru,198,Food & Beverages,2010,1,303.42,9,0,194.13,-36.27,Series C,230.4,-23.56
Akumentis Healthcare,Thane,758,Healthcare,2010,1,121.6,1,0,408.81,56.53,Undisclosed,,55.85
AlgoBulls,Mumbai,22,Fintech,2019,1,20.37,3,0,54.53,-1.85,pre-Series A,56.38,-145.3999127
Allen,Kota,7353,EdTech,1988,1,4588.2,1,1,2363.66,428.67,Series A,1788.49,283.97
AlmaBetter,Bengaluru,1423,EdTech,2020,1,22.38,1,0,18.9,-16.34,Seed,33.72,-44.05101
Almo,Gurugram,40,E-commerce,2020,1,17.3,2,0,6.86,-4.87,Pre-Series A,13.74,-154.0354023
Altigreen,Bengaluru,249,Automotive Tech,2013,1,358.39,8,0,104.49,-78.52,Series A,183.01,-200.94
Altum Credo,Pune,213,Fintech,2016,1,543.79,5,0,118.76,19.98,Series C,,-199.91
AltUni,Mumbai,103,EdTech,2013,1,7.9,2,0,5.78,-2.33,Seed,9.62,-44.05101
Amagi,Bengaluru,762,"Media,",2008,1,2533.82,9,2,724.71,-321.26,Series F,1039.58,-246.83
Amaha,Mumbai,157,Healthcare,2015,1,77.22,3,0,13.81,-23.41,Series A,37.12,-30.72
Amama,Delhi,23,E-commerce,2022,1,2.07,1,0,6.27,-0.3461,Seed,6.73,-154.0354023
Amber,Pune,659,Hospitality,2016,1,184.44,3,0,55.22,-3.19,Series A,57.39,-1.55
Amikus AI,Bengaluru,4,LegalTech,2021,1,1.53,2,0,,-0.6023,pre-Seed,0.6023,-62.07680742
AMPM,Noida,104,E-commerce,2002,1,20.62,2,0,26.31,-0.826,Angel,27.47,-154.0354023
Anar,Mumbai,109,E-commerce,2019,0,47.5,2,0,1.43,-17.32,Seed,18.76,-154.0354023
AnKaSumMor,Bengaluru,18,Consumer Tech,2018,1,17.6,4,0,7.8,-5.43,pre-Series A,13.24,-4.03
Annapurna Finance,Bhubaneshwar,1988,Fintech,2009,1,2707.15,29,0,1569.57,32.72,Secondary,1525.39,-1367.98
ANS Commerce,Gurugram,256,E-commerce,2017,1,18.6,3,0,39.92,-58.16,pre-Series A,97.97,-15.35
Antwalk,Bengaluru,175,EdTech,2019,1,68.11,3,0,0.0729,-0.342,Series A,0.5339,-0.0415
Anveshan,Bengaluru,53,"Food & Beverages,",2019,1,19.98,3,0,31.4,-7.47,pre-Series A,38.89,-77.995
Anveya Living,Bengaluru,50,Beauty & Wellness,2018,0,46.36,6,0,46.26,-7.5,Series A,52.85,-9.95
Apeiron Mobility,Bengaluru,7,Travel Tech,2016,1,2.19,3,0,8.53,0.6627,Angel,7.83,-97.445
Apna,Bengaluru,946,HR Tech,2019,1,1417.52,5,0,188.11,-120.3,Series C,308.42,-136.3
Apna Mart,Bengaluru,85,E-commerce,2021,1,117.18,3,0,32.19,-21.8,Series A,53.89,-23.38
Apnaklub,Bengaluru,167,E-commerce,2020,1,190.78,7,0,280.98,-55.63,Pre-Series B,332.4,-65.21
Applop,Gurugram,7,IT/ ITeS,2015,1,3.67,2,0,,-0.00035758,Seed,35758,0.2564666666666666
AppsForBharat,Bengaluru,96,Spiritual Tech,2020,1,251.07,3,0,6.38,-44.97,Series B,47.93,-2.58
Aqgromalin,Chennai,103,Agritech,2020,1,40.75,2,0,75.93,-34.43,Seed,,-41.62
Aquaconnect,Chennai,84,"Agritech,",2017,1,255.44,7,0,34.7,-11.18,pre-Series B,,-18.78
AquaExchange,Bhimavaram,17,Aquatech,2020,1,81.11,3,0,76.85,-4.87,Series A,81.73,-62.07680742
Arrivae,Mumbai,330,Décor,2017,1,195.84,4,0,43.46,-27.39,Series B,81.5,-39
